shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10181,43.7466150527,-79.6921939754,380001
10181,43.7484432251,-79.6900278006,380002
10181,43.7499462458,-79.6882474273,380003
10181,43.7499462458,-79.6882474273,390001
10181,43.7504863254,-79.6876071388,390002
10181,43.7531271567,-79.6844763863,390003
10181,43.7537009906,-79.6837980251,390004
10181,43.7537009906,-79.6837980251,400001
10181,43.7574734696,-79.6793402173,400002
10181,43.7590692583,-79.677343592,400003
10181,43.7602888053,-79.6755154161,400004
10181,43.7604895253,-79.6751991741,400005
10181,43.7611233285,-79.6741068726,400006
10181,43.7611479851,-79.6740591207,400007
10181,43.7616761366,-79.673018823,400008
10181,43.7620083818,-79.6733295109,400009
10181,43.7623244235,-79.6736405602,400010
10181,43.7625402166,-79.673925254,400011
10181,43.7630307548,-79.6733677888,400012
10181,43.7630307548,-79.6733677888,410001
10181,43.7646321421,-79.6715520784,410002
10181,43.7646321421,-79.6715520784,420001
10181,43.7648551906,-79.6712986668,420002
10181,43.7654718743,-79.6705954899,420003
10181,43.7669220568,-79.6689432558,420004
10181,43.7671250616,-79.6687474206,420005
10181,43.7672374234,-79.6686542313,420006
10181,43.7672722107,-79.6686261263,420007
10181,43.7672722107,-79.6686261263,430001
10181,43.7676209541,-79.6683425699,430002
10181,43.7701048467,-79.6655428068,430003
10181,43.7701048467,-79.6655428068,440001
10181,43.7703732225,-79.6652398841,440002
10181,43.7716644056,-79.6637797862,440003
10181,43.7716644056,-79.6637797862,450001
10181,43.772170034,-79.6632081476,450002
10181,43.7727768797,-79.6625149597,450003
10181,43.7727768797,-79.6625149597,460001
10181,43.7741326882,-79.6609638365,460002
10181,43.7741326882,-79.6609638365,470001
10181,43.7743592396,-79.6607040535,470002
10181,43.7767900301,-79.6579222376,470003
10181,43.7767900301,-79.6579222376,480001
10181,43.77697038,-79.6577156554,480002
10181,43.7774865443,-79.657123796,480003
10181,43.7776779811,-79.6568647699,480004
10181,43.7778515314,-79.6566160837,480005
10181,43.7780198062,-79.6563016539,480006
10181,43.778194045,-79.6559585078,480007
10181,43.7783727774,-79.6555382145,480008
10181,43.7785386806,-79.6550225216,480009
10181,43.7779739612,-79.6547009105,480010
10181,43.7779739612,-79.6547009105,490001
10181,43.7762335686,-79.6537098128,490002
10181,43.7762335686,-79.6537098128,500001
10181,43.7737507845,-79.6522968184,500002
10181,43.773299322,-79.652036083,500003
10181,43.7731660787,-79.651960796,500004
10181,43.7731660787,-79.651960796,510001
